experiment_serial,experiment_timestamp,model_str,optimizer_str,loss_function_str,metric_function_str,early_stopping_patience,batch_size,epoch,learning_rate,momentum,random_seed,epoch_index,train_loss,validation_loss,train_score,validation_score,is_early_stop
DNN_20210323_004137,20210323_004137,DNN,sgd,nll,accuracy,5,8,10,0.0001,0.5,42,0,2.304341294566182,2.304368786189867,0.10323723626993074,0.10434782608695652,False
DNN_20210323_004137,20210323_004137,DNN,sgd,nll,accuracy,5,8,10,0.0001,0.5,42,1,2.3041831057780913,2.3042162003724473,0.10323723626993074,0.10434782608695652,False
DNN_20210323_004137,20210323_004137,DNN,sgd,nll,accuracy,5,8,10,0.0001,0.5,42,2,2.3040287165197126,2.3040682806484942,0.10323723626993074,0.10434782608695652,False
DNN_20210323_004137,20210323_004137,DNN,sgd,nll,accuracy,5,8,10,0.0001,0.5,42,3,2.3038806521694792,2.3039299177086874,0.10323723626993074,0.10434782608695652,False
DNN_20210323_004137,20210323_004137,DNN,sgd,nll,accuracy,5,8,10,0.0001,0.5,42,4,2.3037454745181614,2.303797413646311,0.10323723626993074,0.10434782608695652,False
DNN_20210323_004137,20210323_004137,DNN,sgd,nll,accuracy,5,8,10,0.0001,0.5,42,5,2.303609464763347,2.303667993130891,0.10323723626993074,0.10434782608695652,False
DNN_20210323_004137,20210323_004137,DNN,sgd,nll,accuracy,5,8,10,0.0001,0.5,42,6,2.3034791142338813,2.303544656781183,0.10323723626993074,0.10434782608695652,False
DNN_20210323_004137,20210323_004137,DNN,sgd,nll,accuracy,5,8,10,0.0001,0.5,42,7,2.3033556533063315,2.3034259049788766,0.10323723626993074,0.10434782608695652,False
DNN_20210323_004137,20210323_004137,DNN,sgd,nll,accuracy,5,8,10,0.0001,0.5,42,8,2.3032340195889747,2.3033108186030735,0.10323723626993074,0.10434782608695652,False
DNN_20210323_004137,20210323_004137,DNN,sgd,nll,accuracy,5,8,10,0.0001,0.5,42,9,2.303115235566901,2.303200191691302,0.10323723626993074,0.10434782608695652,False
