train_serial,train_timestamp,model_str,optimizer_str,loss_function_str,metric_function_str,early_stopping_patience,batch_size,epoch,learning_rate,momentum,random_seed,epoch_index,train_loss,validation_loss,train_score,validation_score
DNN_20210324_075604,20210324_075604,DNN,sgd,nll,accuracy,5,8,20,0.0001,0.5,42,0,1.8217369370998862,1.2373388725778331,0.4250281848928974,0.6811594202898551
DNN_20210324_075604,20210324_075604,DNN,sgd,nll,accuracy,5,8,20,0.0001,0.5,42,1,0.881684609226682,0.6255366944748423,0.769528104364632,0.8115942028985508
DNN_20210324_075604,20210324_075604,DNN,sgd,nll,accuracy,5,8,20,0.0001,0.5,42,2,0.5448999774016358,0.4641517475463342,0.8540827830568529,0.863768115942029
DNN_20210324_075604,20210324_075604,DNN,sgd,nll,accuracy,5,8,20,0.0001,0.5,42,3,0.4187855436662378,0.3946575766024382,0.8875825414720567,0.881159420289855
DNN_20210324_075604,20210324_075604,DNN,sgd,nll,accuracy,5,8,20,0.0001,0.5,42,4,0.3490426540446754,0.34216488975545634,0.9048155902721855,0.8898550724637682
DNN_20210324_075604,20210324_075604,DNN,sgd,nll,accuracy,5,8,20,0.0001,0.5,42,5,0.3057883878004956,0.3038646753431986,0.9133515864068288,0.9043478260869565
DNN_20210324_075604,20210324_075604,DNN,sgd,nll,accuracy,5,8,20,0.0001,0.5,42,6,0.2712478577367089,0.29839744878581903,0.9220486390723144,0.9159420289855073
DNN_20210324_075604,20210324_075604,DNN,sgd,nll,accuracy,5,8,20,0.0001,0.5,42,7,0.24628106987274515,0.2714650069822328,0.9320341439845385,0.9130434782608695
DNN_20210324_075604,20210324_075604,DNN,sgd,nll,accuracy,5,8,20,0.0001,0.5,42,8,0.22267067495941695,0.26236872522133414,0.9383153486873893,0.9246376811594202
DNN_20210324_075604,20210324_075604,DNN,sgd,nll,accuracy,5,8,20,0.0001,0.5,42,9,0.20463146158564705,0.2604060694683289,0.9412143662425512,0.9217391304347826
DNN_20210324_075604,20210324_075604,DNN,sgd,nll,accuracy,5,8,20,0.0001,0.5,42,10,0.1881709272378807,0.2684129411469389,0.9486229666612981,0.9188405797101449
DNN_20210324_075604,20210324_075604,DNN,sgd,nll,accuracy,5,8,20,0.0001,0.5,42,11,0.17232970724285507,0.24411140999426068,0.9531325495248832,0.9333333333333333
DNN_20210324_075604,20210324_075604,DNN,sgd,nll,accuracy,5,8,20,0.0001,0.5,42,12,0.1575009173137529,0.2226533749829168,0.9549041713641488,0.9304347826086956
DNN_20210324_075604,20210324_075604,DNN,sgd,nll,accuracy,5,8,20,0.0001,0.5,42,13,0.14501388332711573,0.2349685627717417,0.9607022064744726,0.9246376811594202
DNN_20210324_075604,20210324_075604,DNN,sgd,nll,accuracy,5,8,20,0.0001,0.5,42,14,0.13365476713290075,0.21707615368608116,0.9653728458688999,0.9333333333333333
DNN_20210324_075604,20210324_075604,DNN,sgd,nll,accuracy,5,8,20,0.0001,0.5,42,15,0.1235800847370807,0.2247977634166381,0.9661781285231116,0.9304347826086956
DNN_20210324_075604,20210324_075604,DNN,sgd,nll,accuracy,5,8,20,0.0001,0.5,42,16,0.11361594460883599,0.23497540931878746,0.9698824287324851,0.9304347826086956
DNN_20210324_075604,20210324_075604,DNN,sgd,nll,accuracy,5,8,20,0.0001,0.5,42,17,0.10407456039484211,0.21808791758393045,0.9735867289418586,0.9478260869565217
