2021-03-24 08:10:18,875 | train | INFO | Epoch 0, Train, Mean loss: 1.8217369370998862, Accuracy: 0.4250281848928974
2021-03-24 08:10:22,812 | train | INFO | Epoch 0, Validation, Mean loss: 1.2373388725778331, Accuracy: 0.6811594202898551
2021-03-24 08:10:22,826 | train | INFO | Model saved: /workspace/template_project/image_classification/result/train/DNN_20210324_081000/model.pth
2021-03-24 08:10:33,176 | train | INFO | Epoch 1, Train, Mean loss: 0.881684609226682, Accuracy: 0.769528104364632
2021-03-24 08:10:37,062 | train | INFO | Epoch 1, Validation, Mean loss: 0.6255366944748423, Accuracy: 0.8115942028985508
2021-03-24 08:10:37,080 | train | INFO | Model saved: /workspace/template_project/image_classification/result/train/DNN_20210324_081000/model.pth
2021-03-24 08:10:37,080 | train | INFO | Early stopper, Validation loss decreased 1.2373388725778331 -> 0.6255366944748423
2021-03-24 08:10:46,463 | train | INFO | Epoch 2, Train, Mean loss: 0.5448999774016358, Accuracy: 0.8540827830568529
2021-03-24 08:10:50,021 | train | INFO | Epoch 2, Validation, Mean loss: 0.4641517475463342, Accuracy: 0.863768115942029
2021-03-24 08:10:50,033 | train | INFO | Model saved: /workspace/template_project/image_classification/result/train/DNN_20210324_081000/model.pth
2021-03-24 08:10:50,033 | train | INFO | Early stopper, Validation loss decreased 0.6255366944748423 -> 0.4641517475463342
2021-03-24 08:10:59,881 | train | INFO | Epoch 3, Train, Mean loss: 0.4187855436662378, Accuracy: 0.8875825414720567
2021-03-24 08:11:03,502 | train | INFO | Epoch 3, Validation, Mean loss: 0.3946575766024382, Accuracy: 0.881159420289855
2021-03-24 08:11:03,517 | train | INFO | Model saved: /workspace/template_project/image_classification/result/train/DNN_20210324_081000/model.pth
2021-03-24 08:11:03,517 | train | INFO | Early stopper, Validation loss decreased 0.4641517475463342 -> 0.3946575766024382
2021-03-24 08:11:13,110 | train | INFO | Epoch 4, Train, Mean loss: 0.3490426540446754, Accuracy: 0.9048155902721855
2021-03-24 08:11:17,373 | train | INFO | Epoch 4, Validation, Mean loss: 0.34216488975545634, Accuracy: 0.8898550724637682
2021-03-24 08:11:17,394 | train | INFO | Model saved: /workspace/template_project/image_classification/result/train/DNN_20210324_081000/model.pth
2021-03-24 08:11:17,394 | train | INFO | Early stopper, Validation loss decreased 0.3946575766024382 -> 0.34216488975545634
2021-03-24 08:11:28,872 | train | INFO | Epoch 5, Train, Mean loss: 0.3057883878004956, Accuracy: 0.9133515864068288
2021-03-24 08:11:33,194 | train | INFO | Epoch 5, Validation, Mean loss: 0.3038646753431986, Accuracy: 0.9043478260869565
2021-03-24 08:11:33,203 | train | INFO | Model saved: /workspace/template_project/image_classification/result/train/DNN_20210324_081000/model.pth
2021-03-24 08:11:33,204 | train | INFO | Early stopper, Validation loss decreased 0.34216488975545634 -> 0.3038646753431986
2021-03-24 08:11:42,378 | train | INFO | Epoch 6, Train, Mean loss: 0.2712478577367089, Accuracy: 0.9220486390723144
2021-03-24 08:11:45,864 | train | INFO | Epoch 6, Validation, Mean loss: 0.29839744878581903, Accuracy: 0.9159420289855073
2021-03-24 08:11:45,882 | train | INFO | Model saved: /workspace/template_project/image_classification/result/train/DNN_20210324_081000/model.pth
2021-03-24 08:11:45,882 | train | INFO | Early stopper, Validation loss decreased 0.3038646753431986 -> 0.29839744878581903
2021-03-24 08:11:55,386 | train | INFO | Epoch 7, Train, Mean loss: 0.24628106987274515, Accuracy: 0.9320341439845385
2021-03-24 08:11:58,765 | train | INFO | Epoch 7, Validation, Mean loss: 0.2714650069822328, Accuracy: 0.9130434782608695
2021-03-24 08:11:58,780 | train | INFO | Model saved: /workspace/template_project/image_classification/result/train/DNN_20210324_081000/model.pth
2021-03-24 08:11:58,780 | train | INFO | Early stopper, Validation loss decreased 0.29839744878581903 -> 0.2714650069822328
2021-03-24 08:12:09,346 | train | INFO | Epoch 8, Train, Mean loss: 0.22267067495941695, Accuracy: 0.9383153486873893
2021-03-24 08:12:13,377 | train | INFO | Epoch 8, Validation, Mean loss: 0.26236872522133414, Accuracy: 0.9246376811594202
2021-03-24 08:12:13,390 | train | INFO | Model saved: /workspace/template_project/image_classification/result/train/DNN_20210324_081000/model.pth
2021-03-24 08:12:13,390 | train | INFO | Early stopper, Validation loss decreased 0.2714650069822328 -> 0.26236872522133414
2021-03-24 08:12:23,757 | train | INFO | Epoch 9, Train, Mean loss: 0.20463146158564705, Accuracy: 0.9412143662425512
2021-03-24 08:12:28,216 | train | INFO | Epoch 9, Validation, Mean loss: 0.2604060694683289, Accuracy: 0.9217391304347826
2021-03-24 08:12:28,234 | train | INFO | Model saved: /workspace/template_project/image_classification/result/train/DNN_20210324_081000/model.pth
2021-03-24 08:12:28,235 | train | INFO | Early stopper, Validation loss decreased 0.26236872522133414 -> 0.2604060694683289
2021-03-24 08:12:38,255 | train | INFO | Epoch 10, Train, Mean loss: 0.1881709272378807, Accuracy: 0.9486229666612981
2021-03-24 08:12:41,704 | train | INFO | Epoch 10, Validation, Mean loss: 0.2684129411469389, Accuracy: 0.9188405797101449
2021-03-24 08:12:41,704 | train | INFO | Early stopper, Early stopping counter 1/5
2021-03-24 08:12:51,970 | train | INFO | Epoch 11, Train, Mean loss: 0.17232970724285507, Accuracy: 0.9531325495248832
2021-03-24 08:12:55,904 | train | INFO | Epoch 11, Validation, Mean loss: 0.24411140999426068, Accuracy: 0.9333333333333333
2021-03-24 08:12:55,921 | train | INFO | Model saved: /workspace/template_project/image_classification/result/train/DNN_20210324_081000/model.pth
2021-03-24 08:12:55,921 | train | INFO | Early stopper, Validation loss decreased 0.2604060694683289 -> 0.24411140999426068
2021-03-24 08:13:05,520 | train | INFO | Epoch 12, Train, Mean loss: 0.1575009173137529, Accuracy: 0.9549041713641488
2021-03-24 08:13:09,457 | train | INFO | Epoch 12, Validation, Mean loss: 0.2226533749829168, Accuracy: 0.9304347826086956
2021-03-24 08:13:09,476 | train | INFO | Model saved: /workspace/template_project/image_classification/result/train/DNN_20210324_081000/model.pth
2021-03-24 08:13:09,477 | train | INFO | Early stopper, Validation loss decreased 0.24411140999426068 -> 0.2226533749829168
