2021-04-01 08:46:45,436 | train | INFO | Epoch 0, Train, Mean loss: 0.5709364816581778, Accuracy: 0.8325066031050699
2021-04-01 08:46:47,724 | train | INFO | Epoch 0, Validation, Mean loss: 0.2515176116707532, Accuracy: 0.9255072463768116
2021-04-01 08:46:47,725 | train | INFO | Write row 0
2021-04-01 08:46:47,739 | train | INFO | Model saved: /workspace/template_project/image_classification/results/train/DNN_20210401_084551/model.pt
2021-04-01 08:46:47,739 | train | INFO | Update best record row 1, check point sinf -> 0.2515176116707532
2021-04-01 08:46:47,956 | train | INFO | Save performance plot /workspace/template_project/image_classification/results/train/DNN_20210401_084551
2021-04-01 08:47:38,541 | train | INFO | Epoch 1, Train, Mean loss: 0.22827381565359328, Accuracy: 0.9338884236294531
2021-04-01 08:47:41,059 | train | INFO | Epoch 1, Validation, Mean loss: 0.19556913264851639, Accuracy: 0.9356521739130435
2021-04-01 08:47:41,059 | train | INFO | Early stopper, Validation loss decreased 0.2515176116707532 -> 0.19556913264851639
2021-04-01 08:47:41,059 | train | INFO | Write row 1
2021-04-01 08:47:41,070 | train | INFO | Model saved: /workspace/template_project/image_classification/results/train/DNN_20210401_084551/model.pt
2021-04-01 08:47:41,070 | train | INFO | Update best record row 2, check point s0.2515176116707532 -> 0.19556913264851639
2021-04-01 08:47:41,256 | train | INFO | Save performance plot /workspace/template_project/image_classification/results/train/DNN_20210401_084551
2021-04-01 08:48:31,226 | train | INFO | Epoch 2, Train, Mean loss: 0.17197414161601426, Accuracy: 0.9493493525736004
2021-04-01 08:48:33,494 | train | INFO | Epoch 2, Validation, Mean loss: 0.14660070561844368, Accuracy: 0.952463768115942
2021-04-01 08:48:33,495 | train | INFO | Early stopper, Validation loss decreased 0.19556913264851639 -> 0.14660070561844368
2021-04-01 08:48:33,495 | train | INFO | Write row 2
2021-04-01 08:48:33,513 | train | INFO | Model saved: /workspace/template_project/image_classification/results/train/DNN_20210401_084551/model.pt
2021-04-01 08:48:33,513 | train | INFO | Update best record row 3, check point s0.19556913264851639 -> 0.14660070561844368
2021-04-01 08:48:33,697 | train | INFO | Save performance plot /workspace/template_project/image_classification/results/train/DNN_20210401_084551
2021-04-01 08:49:24,146 | train | INFO | Epoch 3, Train, Mean loss: 0.13929570328966825, Accuracy: 0.9589641177607421
2021-04-01 08:49:26,502 | train | INFO | Epoch 3, Validation, Mean loss: 0.12467609379332567, Accuracy: 0.9617391304347827
2021-04-01 08:49:26,503 | train | INFO | Early stopper, Validation loss decreased 0.14660070561844368 -> 0.12467609379332567
2021-04-01 08:49:26,503 | train | INFO | Write row 3
2021-04-01 08:49:26,519 | train | INFO | Model saved: /workspace/template_project/image_classification/results/train/DNN_20210401_084551/model.pt
2021-04-01 08:49:26,520 | train | INFO | Update best record row 4, check point s0.14660070561844368 -> 0.12467609379332567
2021-04-01 08:49:26,715 | train | INFO | Save performance plot /workspace/template_project/image_classification/results/train/DNN_20210401_084551
2021-04-01 08:50:17,739 | train | INFO | Epoch 4, Train, Mean loss: 0.11555721168736663, Accuracy: 0.9662597436062617
2021-04-01 08:50:19,936 | train | INFO | Epoch 4, Validation, Mean loss: 0.1277868143801807, Accuracy: 0.9620289855072464
2021-04-01 08:50:19,937 | train | INFO | Early stopper, Early stopping counter 1/5
2021-04-01 08:50:19,938 | train | INFO | Write row 4
2021-04-01 08:50:20,149 | train | INFO | Save performance plot /workspace/template_project/image_classification/results/train/DNN_20210401_084551
2021-04-01 08:51:10,683 | train | INFO | Epoch 5, Train, Mean loss: 0.09933320517686654, Accuracy: 0.9711718095728918
